3.670259831955362984e+00 5.170594537177758809e+01 1.189000000000000057e+01
3.669584193677138728e+00 5.170256718038646682e+01 1.061999999999999922e+01
3.670935470233586795e+00 5.169918898899534554e+01 1.196000000000000085e+01
3.672286746790035306e+00 5.169513515932600001e+01 1.175000000000000000e+01
3.673638023346483372e+00 5.169141914879576660e+01 1.041000000000000014e+01
3.674989299902931883e+00 5.168837877654375745e+01 9.699999999999999289e+00
3.677016214737604205e+00 5.168567622343086043e+01 1.001999999999999957e+01
3.679380948711388655e+00 5.168297367031796341e+01 9.939999999999999503e+00
3.682421320963397360e+00 5.168094675548329064e+01 8.480000000000000426e+00
3.685123874076293937e+00 5.167824420237040073e+01 9.300000000000000711e+00
3.687826427189190515e+00 5.167554164925750371e+01 8.939999999999999503e+00
3.690528980302087092e+00 5.167419037270105520e+01 8.759999999999999787e+00
3.693569352554095797e+00 5.167216345786638243e+01 8.060000000000000497e+00
3.703366107588346168e+00 5.166709617077970051e+01 7.679999999999999716e+00
3.701677011892785529e+00 5.166473143680591562e+01 1.549000000000000021e+01
3.697961001362553013e+00 5.166473143680591562e+01 2.157000000000000028e+01
3.680394406128725038e+00 5.166743398991881264e+01 1.807999999999999829e+01
3.666206002286017895e+00 5.167013654303170966e+01 1.509999999999999964e+01
3.640531747713500188e+00 5.167385255356194307e+01 1.168999999999999950e+01
3.614857493140982481e+00 5.167790638323128860e+01 1.035999999999999943e+01
3.603371642411171916e+00 5.167790638323128860e+01 1.168999999999999950e+01
3.588507600290240962e+00 5.168094675548329064e+01 1.161999999999999922e+01
3.571954462473749370e+00 5.168297367031796341e+01 1.202999999999999936e+01
3.563171164856835382e+00 5.168668968084819682e+01 1.228999999999999915e+01
3.552698771544360756e+00 5.169378388276955150e+01 1.026999999999999957e+01
3.546280207901231663e+00 5.170020244641268192e+01 1.117999999999999972e+01
3.541888559092774447e+00 5.170797228661226086e+01 1.147000000000000064e+01
3.540537282536326380e+00 5.171607994595095192e+01 1.247000000000000064e+01
3.541212920814550635e+00 5.172756579668075716e+01 1.125000000000000000e+01
3.546955846179455918e+00 5.173972728568879376e+01 9.669999999999999929e+00
3.549658399292352051e+00 5.174783494502748482e+01 1.039000000000000057e+01
3.541550739953662319e+00 5.175864515747907291e+01 2.153999999999999915e+01
3.532429623197636648e+00 5.176371244456575482e+01 2.403000000000000114e+01
3.526686697832731365e+00 5.176675281681776397e+01 2.169999999999981810e+01
