3.666140057963709786e+00 5.172014102966554816e+01
3.668357799899193861e+00 5.170960675547200225e+01
3.664476751512097064e+00 5.170129022321393819e+01
3.667248928931451601e+00 5.169020151353651471e+01
3.673902154737903381e+00 5.168022167482683926e+01
3.680555380544355160e+00 5.167578619095586845e+01
3.687208606350806495e+00 5.167356844902038659e+01
3.691644090221774199e+00 5.167024183611716381e+01
3.657269090221774377e+00 5.168243941676232112e+01
3.628438445060484074e+00 5.168798377160103286e+01
3.596835622479838790e+00 5.170129022321393819e+01
3.566341670866935321e+00 5.173122973934297164e+01
3.552480783770161299e+00 5.175008054579458161e+01
3.538619896673387277e+00 5.177946562643974460e+01
3.504244896673387011e+00 5.178556441676232680e+01
3.509789251512096531e+00 5.175008054579458161e+01
3.520877961189516014e+00 5.170572570708490190e+01
3.570777154737903025e+00 5.167245957805264567e+01
3.609587638608870996e+00 5.165748981998812894e+01
3.669466670866935676e+00 5.165028215869780581e+01
3.718256993447580872e+00 5.164085675547200083e+01
3.715484816028225890e+00 5.167467731998812752e+01
3.690535219254032384e+00 5.170572570708490190e+01
3.686099735383064679e+00 5.172568538450425990e+01
3.666140057963709786e+00 5.172734869095587129e+01
